enable,pl,addrPl;data
1,0,0;-1430532965
1,0,0;-1430532964
1,0,0;-1430532963
1,0,0;-1430532962
1,0,0;-1430532961
1,0,0;-1430532960
1,0,0;-1430532959
1,0,0;-1430532958
1,0,0;-1430532957
1,0,0;-1430532956
1,0,0;-1430532955
1,0,0;-1430532954
1,0,0;-1430532953
1,0,0;-1430532952
1,0,0;-1430532951
1,0,0;-1430532950
1,0,0;-1430532949
1,0,0;-1430532948
1,0,0;-1430532947
1,0,0;-1430532946
1,0,0;-1430532945
1,0,0;-1430532944
1,0,0;-1430532943
1,0,0;-1430532942
1,0,0;-1430532941
1,0,0;-1430532940
1,0,0;-1430532939
1,0,0;-1430532938
1,0,0;-1430532937
1,0,0;-1430532936
1,0,0;-1430532935
1,0,0;-1430532934
1,0,0;-1430532933
1,0,0;-1430532932
1,0,0;-1430532931
1,0,0;-1430532930
1,0,0;-1430532929
1,0,0;-1430532928
1,0,0;-1430532927
1,0,0;-1430532926
1,0,0;-1430532925
1,0,0;-1430532924
1,0,0;-1430532923
1,0,0;-1430532922
1,0,0;-1430532921
1,0,0;-1430532920
1,0,0;-1430532919
1,0,0;-1430532918
1,0,0;-1430532917
1,0,0;-1430532916
1,0,0;-1430532915
1,0,0;-1430532914
1,0,0;-1430532913
1,0,0;-1430532912
1,0,0;-1430532911
1,0,0;-1430532910
1,0,0;-1430532909
1,0,0;-1430532908
1,0,0;-1430532907
1,0,0;-1430532906
1,0,0;-1430532905
1,0,0;-1430532904
1,0,0;-1430532903
1,0,0;-1430532902
1,0,0;-1430532901
1,0,0;-1430532900
1,0,0;-1430532899
1,0,0;-1430532898
1,0,0;-1430532897
1,0,0;-1430532896
1,0,0;-1430532895
1,0,0;-1430532894
1,0,0;-1430532893
1,0,0;-1430532892
1,0,0;-1430532891
1,0,0;-1430532890
1,0,0;-1430532889
1,0,0;-1430532888
1,0,0;-1430532887
1,0,0;-1430532886
1,0,0;-1430532885
1,0,0;-1430532884
1,0,0;-1430532883
1,0,0;-1430532882
1,0,0;-1430532881
1,0,0;-1430532880
1,0,0;-1430532879
1,0,0;-1430532878
1,0,0;-1430532877
1,0,0;-1430532876
1,0,0;-1430532875
1,0,0;-1430532874
1,0,0;-1430532873
1,0,0;-1430532872
1,0,0;-1430532871
1,0,0;-1430532870
1,0,0;-1430532869
1,0,0;-1430532868
1,0,0;-1430532867
1,0,0;-1430532866
1,0,0;-1430532865
1,0,0;-1430532864
1,0,0;-1430532863
1,0,0;-1430532862
1,0,0;-1430532861
1,0,0;-1430532860
1,0,0;-1430532859
1,0,0;-1430532858
1,0,0;-1430532857
1,0,0;-1430532856
1,0,0;-1430532855
1,0,0;-1430532854
1,0,0;-1430532853
1,0,0;-1430532852
1,0,0;-1430532851
1,0,0;-1430532850
1,0,0;-1430532849
1,0,0;-1430532848
1,0,0;-1430532847
1,0,0;-1430532846
1,0,0;-1430532845
1,0,0;-1430532844
1,0,0;-1430532843
1,0,0;-1430532842
1,0,0;-1430532841
1,0,0;-1430532840
1,0,0;-1430532839
1,0,0;-1430532838
1,0,0;-1430532837
1,0,0;-1430532836
1,0,0;-1430532835
1,0,0;-1430532834
1,0,0;-1430532833
1,0,0;-1430532832
1,0,0;-1430532831
1,0,0;-1430532830
1,0,0;-1430532829
1,0,0;-1430532828
1,0,0;-1430532827
1,0,0;-1430532826
1,0,0;-1430532825
1,0,0;-1430532824
1,0,0;-1430532823
1,0,0;-1430532822
1,0,0;-1430532821
1,0,0;-1430532820
1,0,0;-1430532819
1,0,0;-1430532818
1,0,0;-1430532817
1,0,0;-1430532816
1,0,0;-1430532815
1,0,0;-1430532814
1,0,0;-1430532813
1,0,0;-1430532812
1,0,0;-1430532811
1,0,0;-1430532810
1,0,0;-1430532809
1,0,0;-1430532808
1,0,0;-1430532807
1,0,0;-1430532806
1,0,0;-1430532805
1,0,0;-1430532804
1,0,0;-1430532803
1,0,0;-1430532802
1,0,0;-1430532801
1,0,0;-1430532800
1,0,0;-1430532799
1,0,0;-1430532798
1,0,0;-1430532797
1,0,0;-1430532796
1,0,0;-1430532795
1,0,0;-1430532794
1,0,0;-1430532793
1,0,0;-1430532792
1,0,0;-1430532791
1,0,0;-1430532790
1,0,0;-1430532789
1,0,0;-1430532788
1,0,0;-1430532787
1,0,0;-1430532786
1,0,0;-1430532785
1,0,0;-1430532784
1,0,0;-1430532783
1,0,0;-1430532782
1,0,0;-1430532781
1,0,0;-1430532780
1,0,0;-1430532779
1,0,0;-1430532778
1,0,0;-1430532777
1,0,0;-1430532776
1,0,0;-1430532775
1,0,0;-1430532774
1,0,0;-1430532773
1,0,0;-1430532772
1,0,0;-1430532771
1,0,0;-1430532770
1,0,0;-1430532769
1,0,0;-1430532768
1,0,0;-1430532767
1,0,0;-1430532766
1,0,0;-1430532765
1,0,0;-1430532764
1,0,0;-1430532763
1,0,0;-1430532762
1,0,0;-1430532761
1,0,0;-1430532760
1,0,0;-1430532759
1,0,0;-1430532758
1,0,0;-1430532757
1,0,0;-1430532756
1,0,0;-1430532755
1,0,0;-1430532754
1,0,0;-1430532753
1,0,0;-1430532752
1,0,0;-1430532751
1,0,0;-1430532750
1,0,0;-1430532749
1,0,0;-1430532748
1,0,0;-1430532747
1,0,0;-1430532746
1,0,0;-1430532745
1,0,0;-1430532744
1,0,0;-1430532743
1,0,0;-1430532742
1,0,0;-1430532741
1,0,0;-1430532740
1,0,0;-1430532739
1,0,0;-1430532738
1,0,0;-1430532737
1,0,0;-1430532736
1,0,0;-1430532735
1,0,0;-1430532734
1,0,0;-1430532733
1,0,0;-1430532732
1,0,0;-1430532731
1,0,0;-1430532730
1,0,0;-1430532729
1,0,0;-1430532728
1,0,0;-1430532727
1,0,0;-1430532726
1,0,0;-1430532725
1,0,0;-1430532724
1,0,0;-1430532723
1,0,0;-1430532722
1,0,0;-1430532721
1,0,0;-1430532720
1,0,0;-1430532719
1,0,0;-1430532718
1,0,0;-1430532717
1,0,0;-1430532716
1,0,0;-1430532715
1,0,0;-1430532714
1,0,0;-1430532713
1,0,0;-1430532712
1,0,0;-1430532711
1,0,0;-1430532710
1,0,0;-1430532709
1,0,0;-1430532708
1,0,0;-1430532707
1,0,0;-1430532706
1,0,0;-1430532705
1,0,0;-1430532704
1,0,0;-1430532703
1,0,0;-1430532702
1,0,0;-1430532701
1,0,0;-1430532700
1,0,0;-1430532699
1,0,0;-1430532698
1,0,0;-1430532697
1,0,0;-1430532696
1,0,0;-1430532695
1,0,0;-1430532694
1,0,0;-1430532693
1,0,0;-1430532692
1,0,0;-1430532691
1,0,0;-1430532690
1,0,0;-1430532689
1,0,0;-1430532688
1,0,0;-1430532687
1,0,0;-1430532686
1,0,0;-1430532685
1,0,0;-1430532684
1,0,0;-1430532683
1,0,0;-1430532682
1,0,0;-1430532681
1,0,0;-1430532680
1,0,0;-1430532679
1,0,0;-1430532678
1,0,0;-1430532677
1,0,0;-1430532676
1,0,0;-1430532675
1,0,0;-1430532674
1,0,0;-1430532673
1,0,0;-1430532672
1,0,0;-1430532671
1,0,0;-1430532670
1,0,0;-1430532669
1,0,0;-1430532668
1,0,0;-1430532667
1,0,0;-1430532666
1,0,0;-1430532665
1,0,0;-1430532664
1,0,0;-1430532663
1,0,0;-1430532662
1,0,0;-1430532661
1,0,0;-1430532660
1,0,0;-1430532659
1,0,0;-1430532658
1,0,0;-1430532657
1,0,0;-1430532656
1,0,0;-1430532655
1,0,0;-1430532654
1,0,0;-1430532653
1,0,0;-1430532652
1,0,0;-1430532651
1,0,0;-1430532650
1,0,0;-1430532649
1,0,0;-1430532648
1,0,0;-1430532647
1,0,0;-1430532646
1,0,0;-1430532645
1,0,0;-1430532644
1,0,0;-1430532643
1,0,0;-1430532642
1,0,0;-1430532641
1,0,0;-1430532640
1,0,0;-1430532639
1,0,0;-1430532638
1,0,0;-1430532637
1,0,0;-1430532636
1,0,0;-1430532635
1,0,0;-1430532634
1,0,0;-1430532633
1,0,0;-1430532632
1,0,0;-1430532631
1,0,0;-1430532630
1,0,0;-1430532629
1,0,0;-1430532628
1,0,0;-1430532627
1,0,0;-1430532626
1,0,0;-1430532625
1,0,0;-1430532624
1,0,0;-1430532623
1,0,0;-1430532622
1,0,0;-1430532621
1,0,0;-1430532620
1,0,0;-1430532619
1,0,0;-1430532618
1,0,0;-1430532617
1,0,0;-1430532616
1,0,0;-1430532615
1,0,0;-1430532614
1,0,0;-1430532613
1,0,0;-1430532612
1,0,0;-1430532611
1,0,0;-1430532610
1,0,0;-1430532609
1,0,0;-1430532608
1,0,0;-1430532607
1,0,0;-1430532606
1,0,0;-1430532605
1,0,0;-1430532604
1,0,0;-1430532603
1,0,0;-1430532602
1,0,0;-1430532601
1,0,0;-1430532600
1,0,0;-1430532599
1,0,0;-1430532598
1,0,0;-1430532597
1,0,0;-1430532596
1,0,0;-1430532595
1,0,0;-1430532594
1,0,0;-1430532593
1,0,0;-1430532592
1,0,0;-1430532591
1,0,0;-1430532590
1,0,0;-1430532589
1,0,0;-1430532588
1,0,0;-1430532587
1,0,0;-1430532586
1,0,0;-1430532585
1,0,0;-1430532584
1,0,0;-1430532583
1,0,0;-1430532582
1,0,0;-1430532581
1,0,0;-1430532580
1,0,0;-1430532579
1,0,0;-1430532578
1,0,0;-1430532577
1,0,0;-1430532576
1,0,0;-1430532575
1,0,0;-1430532574
1,0,0;-1430532573
1,0,0;-1430532572
1,0,0;-1430532571
1,0,0;-1430532570
1,0,0;-1430532569
1,0,0;-1430532568
1,0,0;-1430532567
1,0,0;-1430532566
1,0,0;-1430532565
1,0,0;-1430532564
1,0,0;-1430532563
1,0,0;-1430532562
1,0,0;-1430532561
1,0,0;-1430532560
1,0,0;-1430532559
1,0,0;-1430532558
1,0,0;-1430532557
1,0,0;-1430532556
1,0,0;-1430532555
1,0,0;-1430532554
1,0,0;-1430532553
1,0,0;-1430532552
1,0,0;-1430532551
1,0,0;-1430532550
1,0,0;-1430532549
1,0,0;-1430532548
1,0,0;-1430532547
1,0,0;-1430532546
1,0,0;-1430532545
1,0,0;-1430532544
1,0,0;-1430532543
1,0,0;-1430532542
1,0,0;-1430532541
1,0,0;-1430532540
1,0,0;-1430532539
1,0,0;-1430532538
1,0,0;-1430532537
1,0,0;-1430532536
1,0,0;-1430532535
1,0,0;-1430532534
1,0,0;-1430532533
1,0,0;-1430532532
1,0,0;-1430532531
1,0,0;-1430532530
1,0,0;-1430532529
1,0,0;-1430532528
1,0,0;-1430532527
1,0,0;-1430532526
1,0,0;-1430532525
1,0,0;-1430532524
1,0,0;-1430532523
1,0,0;-1430532522
1,0,0;-1430532521
1,0,0;-1430532520
1,0,0;-1430532519
1,0,0;-1430532518
1,0,0;-1430532517
1,0,0;-1430532516
1,0,0;-1430532515
1,0,0;-1430532514
1,0,0;-1430532513
1,0,0;-1430532512
1,0,0;-1430532511
1,0,0;-1430532510
1,0,0;-1430532509
1,0,0;-1430532508
1,0,0;-1430532507
1,0,0;-1430532506
1,0,0;-1430532505
1,0,0;-1430532504
1,0,0;-1430532503
1,0,0;-1430532502
1,0,0;-1430532501
1,0,0;-1430532500
1,0,0;-1430532499
1,0,0;-1430532498
1,0,0;-1430532497
1,0,0;-1430532496
1,0,0;-1430532495
1,0,0;-1430532494
1,0,0;-1430532493
1,0,0;-1430532492
1,0,0;-1430532491
1,0,0;-1430532490
1,0,0;-1430532489
1,0,0;-1430532488
1,0,0;-1430532487
1,0,0;-1430532486
1,0,0;-1430532485
1,0,0;-1430532484
1,0,0;-1430532483
1,0,0;-1430532482
1,0,0;-1430532481
1,0,0;-1430532480
1,0,0;-1430532479
1,0,0;-1430532478
1,0,0;-1430532477
1,0,0;-1430532476
1,0,0;-1430532475
1,0,0;-1430532474
1,0,0;-1430532473
1,0,0;-1430532472
1,0,0;-1430532471
1,0,0;-1430532470
1,0,0;-1430532469
1,0,0;-1430532468
1,0,0;-1430532467
1,0,0;-1430532466
1,0,0;-1430532465
1,0,0;-1430532464
1,0,0;-1430532463
1,0,0;-1430532462
1,0,0;-1430532461
1,0,0;-1430532460
1,0,0;-1430532459
1,0,0;-1430532458
1,0,0;-1430532457
1,0,0;-1430532456
1,0,0;-1430532455
1,0,0;-1430532454
1,0,0;-1430532453
1,0,0;-1430532452
1,0,0;-1430532451
1,0,0;-1430532450
1,0,0;-1430532449
1,0,0;-1430532448
1,0,0;-1430532447
1,0,0;-1430532446
1,0,0;-1430532445
1,0,0;-1430532444
1,0,0;-1430532443
1,0,0;-1430532442
1,0,0;-1430532441
1,0,0;-1430532440
1,0,0;-1430532439
1,0,0;-1430532438
1,0,0;-1430532437
1,0,0;-1430532436
1,0,0;-1430532435
1,0,0;-1430532434
1,0,0;-1430532433
1,0,0;-1430532432
1,0,0;-1430532431
1,0,0;-1430532430
1,0,0;-1430532429
1,0,0;-1430532428
1,0,0;-1430532427
1,0,0;-1430532426
1,0,0;-1430532425
1,0,0;-1430532424
1,0,0;-1430532423
1,0,0;-1430532422
1,0,0;-1430532421
1,0,0;-1430532420
1,0,0;-1430532419
1,0,0;-1430532418
1,0,0;-1430532417
1,0,0;-1430532416
1,0,0;-1430532415
1,0,0;-1430532414
1,0,0;-1430532413
1,0,0;-1430532412
1,0,0;-1430532411
1,0,0;-1430532410
1,0,0;-1430532409
1,0,0;-1430532408
1,0,0;-1430532407
1,0,0;-1430532406
1,0,0;-1430532405
1,0,0;-1430532404
1,0,0;-1430532403
1,0,0;-1430532402
1,0,0;-1430532401
1,0,0;-1430532400
1,0,0;-1430532399
1,0,0;-1430532398
1,0,0;-1430532397
1,0,0;-1430532396
1,0,0;-1430532395
1,0,0;-1430532394
1,0,0;-1430532393
1,0,0;-1430532392
1,0,0;-1430532391
1,0,0;-1430532390
1,0,0;-1430532389
1,0,0;-1430532388
1,0,0;-1430532387
1,0,0;-1430532386
1,0,0;-1430532385
1,0,0;-1430532384
1,0,0;-1430532383
1,0,0;-1430532382
1,0,0;-1430532381
1,0,0;-1430532380
1,0,0;-1430532379
1,0,0;-1430532378
1,0,0;-1430532377
1,0,0;-1430532376
1,0,0;-1430532375
1,0,0;-1430532374
1,0,0;-1430532373
1,0,0;-1430532372
1,0,0;-1430532371
1,0,0;-1430532370
1,0,0;-1430532369
1,0,0;-1430532368
1,0,0;-1430532367
1,0,0;-1430532366
1,0,0;-1430532365
1,0,0;-1430532364
1,0,0;-1430532363
1,0,0;-1430532362
1,0,0;-1430532361
1,0,0;-1430532360
1,0,0;-1430532359
1,0,0;-1430532358
1,0,0;-1430532357
1,0,0;-1430532356
1,0,0;-1430532355
1,0,0;-1430532354
1,0,0;-1430532353
1,0,0;-1430532352
1,0,0;-1430532351
1,0,0;-1430532350
1,0,0;-1430532349
1,0,0;-1430532348
1,0,0;-1430532347
1,0,0;-1430532346
1,0,0;-1430532345
1,0,0;-1430532344
1,0,0;-1430532343
1,0,0;-1430532342
1,0,0;-1430532341
1,0,0;-1430532340
1,0,0;-1430532339
1,0,0;-1430532338
1,0,0;-1430532337
1,0,0;-1430532336
1,0,0;-1430532335
1,0,0;-1430532334
1,0,0;-1430532333
1,0,0;-1430532332
1,0,0;-1430532331
1,0,0;-1430532330
1,0,0;-1430532329
1,0,0;-1430532328
1,0,0;-1430532327
1,0,0;-1430532326
1,0,0;-1430532325
1,0,0;-1430532324
1,0,0;-1430532323
1,0,0;-1430532322
1,0,0;-1430532321
1,0,0;-1430532320
1,0,0;-1430532319
1,0,0;-1430532318
1,0,0;-1430532317
1,0,0;-1430532316
1,0,0;-1430532315
1,0,0;-1430532314
1,0,0;-1430532313
1,0,0;-1430532312
1,0,0;-1430532311
1,0,0;-1430532310
1,0,0;-1430532309
1,0,0;-1430532308
1,0,0;-1430532307
1,0,0;-1430532306
1,0,0;-1430532305
1,0,0;-1430532304
1,0,0;-1430532303
1,0,0;-1430532302
1,0,0;-1430532301
1,0,0;-1430532300
1,0,0;-1430532299
1,0,0;-1430532298
1,0,0;-1430532297
1,0,0;-1430532296
1,0,0;-1430532295
1,0,0;-1430532294
1,0,0;-1430532293
1,0,0;-1430532292
1,0,0;-1430532291
1,0,0;-1430532290
1,0,0;-1430532289
1,0,0;-1430532288
1,0,0;-1430532287
1,0,0;-1430532286
1,0,0;-1430532285
1,0,0;-1430532284
1,0,0;-1430532283
1,0,0;-1430532282
1,0,0;-1430532281
1,0,0;-1430532280
1,0,0;-1430532279
1,0,0;-1430532278
1,0,0;-1430532277
1,0,0;-1430532276
1,0,0;-1430532275
1,0,0;-1430532274
1,0,0;-1430532273
1,0,0;-1430532272
1,0,0;-1430532271
1,0,0;-1430532270
1,0,0;-1430532269
1,0,0;-1430532268
1,0,0;-1430532267
1,0,0;-1430532266
1,0,0;-1430532265
1,0,0;-1430532264
1,0,0;-1430532263
1,0,0;-1430532262
1,0,0;-1430532261
1,0,0;-1430532260
1,0,0;-1430532259
1,0,0;-1430532258
1,0,0;-1430532257
1,0,0;-1430532256
1,0,0;-1430532255
1,0,0;-1430532254
1,0,0;-1430532253
1,0,0;-1430532252
1,0,0;-1430532251
1,0,0;-1430532250
1,0,0;-1430532249
1,0,0;-1430532248
1,0,0;-1430532247
1,0,0;-1430532246
1,0,0;-1430532245
1,0,0;-1430532244
1,0,0;-1430532243
1,0,0;-1430532242
1,0,0;-1430532241
1,0,0;-1430532240
1,0,0;-1430532239
1,0,0;-1430532238
1,0,0;-1430532237
1,0,0;-1430532236
1,0,0;-1430532235
1,0,0;-1430532234
1,0,0;-1430532233
1,0,0;-1430532232
1,0,0;-1430532231
1,0,0;-1430532230
1,0,0;-1430532229
1,0,0;-1430532228
1,0,0;-1430532227
1,0,0;-1430532226
1,0,0;-1430532225
1,0,0;-1430532224
1,0,0;-1430532223
1,0,0;-1430532222
1,0,0;-1430532221
1,0,0;-1430532220
1,0,0;-1430532219
1,0,0;-1430532218
1,0,0;-1430532217
1,0,0;-1430532216
1,0,0;-1430532215
1,0,0;-1430532214
1,0,0;-1430532213
1,0,0;-1430532212
1,0,0;-1430532211
1,0,0;-1430532210
1,0,0;-1430532209
1,0,0;-1430532208
1,0,0;-1430532207
1,0,0;-1430532206
1,0,0;-1430532205
1,0,0;-1430532204
1,0,0;-1430532203
1,0,0;-1430532202
1,0,0;-1430532201
1,0,0;-1430532200
1,0,0;-1430532199
1,0,0;-1430532198
1,0,0;-1430532197
1,0,0;-1430532196
1,0,0;-1430532195
1,0,0;-1430532194
1,0,0;-1430532193
1,0,0;-1430532192
1,0,0;-1430532191
1,0,0;-1430532190
1,0,0;-1430532189
1,0,0;-1430532188
1,0,0;-1430532187
1,0,0;-1430532186
1,0,0;-1430532185
1,0,0;-1430532184
1,0,0;-1430532183
1,0,0;-1430532182
1,0,0;-1430532181
1,0,0;-1430532180
1,0,0;-1430532179
1,0,0;-1430532178
1,0,0;-1430532177
1,0,0;-1430532176
1,0,0;-1430532175
1,0,0;-1430532174
1,0,0;-1430532173
1,0,0;-1430532172
1,0,0;-1430532171
1,0,0;-1430532170
1,0,0;-1430532169
1,0,0;-1430532168
1,0,0;-1430532167
1,0,0;-1430532166
1,0,0;-1430532165
1,0,0;-1430532164
1,0,0;-1430532163
1,0,0;-1430532162
1,0,0;-1430532161
1,0,0;-1430532160
1,0,0;-1430532159
1,0,0;-1430532158
1,0,0;-1430532157
1,0,0;-1430532156
1,0,0;-1430532155
1,0,0;-1430532154
1,0,0;-1430532153
1,0,0;-1430532152
1,0,0;-1430532151
1,0,0;-1430532150
1,0,0;-1430532149
1,0,0;-1430532148
1,0,0;-1430532147
1,0,0;-1430532146
1,0,0;-1430532145
1,0,0;-1430532144
1,0,0;-1430532143
1,0,0;-1430532142
1,0,0;-1430532141
1,0,0;-1430532140
1,0,0;-1430532139
1,0,0;-1430532138
1,0,0;-1430532137
1,0,0;-1430532136
1,0,0;-1430532135
1,0,0;-1430532134
1,0,0;-1430532133
1,0,0;-1430532132
1,0,0;-1430532131
1,0,0;-1430532130
1,0,0;-1430532129
1,0,0;-1430532128
1,0,0;-1430532127
1,0,0;-1430532126
1,0,0;-1430532125
1,0,0;-1430532124
1,0,0;-1430532123
1,0,0;-1430532122
1,0,0;-1430532121
1,0,0;-1430532120
1,0,0;-1430532119
1,0,0;-1430532118
1,0,0;-1430532117
1,0,0;-1430532116
1,0,0;-1430532115
1,0,0;-1430532114
1,0,0;-1430532113
1,0,0;-1430532112
1,0,0;-1430532111
1,0,0;-1430532110
1,0,0;-1430532109
1,0,0;-1430532108
1,0,0;-1430532107
1,0,0;-1430532106
1,0,0;-1430532105
1,0,0;-1430532104
1,0,0;-1430532103
1,0,0;-1430532102
1,0,0;-1430532101
1,0,0;-1430532100
1,0,0;-1430532099
1,0,0;-1430532098
1,0,0;-1430532097
0,0,0;-1430533120
